data,algorithm,time,nmi,ari,nf1,#com
strike,CMS0.1,0.402193785,0.154497516,-0.02319273,0.078888889,2
strike,CMS0.2,0.404233217,0.611108014,0.362244422,0.517777778,2
strike,orc_cd,4.70810771,0.718475506,0.551802533,0.426666667,6
strike,nm_cd,0.001464128,0.686424518,0.479348689,0.357142857,7
strike,label_cd,0.001190424,0.718475506,0.551802533,0.426666667,6
strike,louvain_cd,0.00113678,0.718475506,0.551802533,0.426666667,6
karate,CMS0.1,0.40468049,1,1,1,2
karate,CMS0.2,0.421714544,0.837169463,0.882257541,0.97,2
karate,orc_cd,12.3069911,0.539264642,0.384820807,0.292,5
karate,nm_cd,0.002627373,0.517763913,0.351562349,0.235,6
karate,label_cd,0.001736879,0.515935608,0.362738644,0.243333333,6
karate,louvain_cd,0.002022505,0.539264642,0.384820807,0.292,5
mexican,CMS0.1,0.433360577,0.231825254,0.230365277,0.49,3
mexican,CMS0.2,0.432168007,0.176579786,0.170310165,0.46,3
mexican,orc_cd,15.5615747,0.213988487,0.168537224,0.35,4
mexican,nm_cd,0.007136822,0.208569273,0.14212018,0.272,5
mexican,label_cd,0.002118111,0.213988487,0.168537224,0.35,4
mexican,louvain_cd,0.002208948,0.213988487,0.168537224,0.35,4
dolphin,CMS0.1,0.442382574,0.445826879,0.296482843,0.49,3
dolphin,CMS0.2,0.431640387,0.740150919,0.586278148,0.593333333,3
dolphin,orc_cd,22.30699253,0.453799591,0.207288339,0.101818182,11
dolphin,nm_cd,0.006309271,0.444480316,0.195736059,0.090833333,12
dolphin,label_cd,0.00325489,0.443932112,0.200175375,0.093333333,12
dolphin,louvain_cd,0.0035429,0.453799591,0.207288339,0.101818182,11
football,CMS0.1,0.928035736,0.836689363,0.607630064,0.473888889,8
football,CMS0.2,1.115924597,0.828606213,0.495950669,0.467222222,8
football,orc_cd,63.88390279,0.926879364,0.889343155,0.691613248,12
football,nm_cd,0.021011114,0.928943176,0.900438099,0.680625,13
football,label_cd,0.003046513,0.926879364,0.889343155,0.691613248,12
football,louvain_cd,0.005190372,0.926879364,0.889343155,0.691613248,12
polbooks,CMS0.1,0.443343639,0.346154548,0.359164606,0.16,5
polbooks,CMS0.2,0.454965353,0.516745862,0.602894536,0.3315,5
polbooks,orc_cd,56.69673371,0.412588552,0.312290236,0.146666667,12
polbooks,nm_cd,0.021499872,0.40761751,0.300171436,0.133846154,13
polbooks,label_cd,0.004206657,0.412588552,0.312290236,0.146666667,12
polbooks,louvain_cd,0.005318642,0.412588552,0.312290236,0.146666667,12
polblogs,CMS0.1,508.9732895,0.003405012,0.000272116,0.16625,2
polblogs,CMS0.2,507.9365091,0.003405012,0.000272116,0.16625,2
polblogs,orc_cd,5114.251179,0.278249582,0.258208682,0.006415094,212
polblogs,nm_cd,1.947711468,0.279114258,0.259037093,0.006431925,213
polblogs,label_cd,0.032395363,0.278249582,0.258208682,0.006415094,212
polblogs,louvain_cd,0.106649637,0.278249582,0.258208682,0.006415094,212
