data,algorithm,time,orc_time,alpha,nmi,ari,nf1,#com,merge,merge_avg
strike,CMS,0.43560648,0.43339777,0,0.633592395,0.570614914,0.482222222,2,"[5, 5]",5
strike,CMS,0.411311626,0.410243273,0.1,0.154497516,-0.02319273,0.078888889,2,"[10, 2]",6
strike,CMS,0.424895763,0.423864603,0.2,0.611108014,0.362244422,0.517777778,2,"[7, 3]",5
strike,CMS,0.4297297,0.427636623,0.3,0.611108014,0.362244422,0.517777778,2,"[7, 3]",5
strike,CMS,0.42531991,0.424386978,0.4,0.611108014,0.362244422,0.517777778,2,"[7, 3]",5
strike,CMS,0.425373554,0.42461133,0.5,0.611108014,0.362244422,0.517777778,2,"[7, 3]",5
strike,CMS,0.417627811,0.416028976,0.6,0.611108014,0.362244422,0.517777778,2,"[8, 3]",5.5
strike,CMS,0.435837507,0.433652878,0.7,0.611108014,0.362244422,0.517777778,2,"[8, 3]",5.5
strike,CMS,0.419926167,0.417848825,0.8,0.611108014,0.362244422,0.517777778,2,"[8, 3]",5.5
strike,CMS,0.432315588,0.42995429,0.9,0.611108014,0.362244422,0.517777778,2,"[8, 3]",5.5
strike,CMS,0.431919575,0.430901766,1,0.611108014,0.362244422,0.517777778,2,"[9, 3]",6
karate,CMS,0.435099125,0.430451632,0,0.836498117,0.882302455,0.97,2,"[12, 11]",11.5
karate,CMS,0.436862707,0.431494713,0.1,1,1,1,2,"[11, 10]",10.5
karate,CMS,0.425014496,0.423487186,0.2,0.837169463,0.882257541,0.97,2,"[10, 8]",9
karate,CMS,0.435629368,0.430413961,0.3,0.837169463,0.882257541,0.97,2,"[9, 8]",8.5
karate,CMS,0.431491613,0.427801132,0.4,0.225966602,0.10954057,0.1575,2,"[9, 3]",6
karate,CMS,0.444158077,0.442681074,0.5,0.225966602,0.10954057,0.1575,2,"[10, 3]",6.5
karate,CMS,0.432868481,0.430251122,0.6,0.257814063,0.105838105,0.15375,2,"[9, 6]",7.5
karate,CMS,0.433607578,0.429585218,0.7,0.225966602,0.10954057,0.1575,2,"[9, 3]",6
karate,CMS,0.42735815,0.425804615,0.8,0.225966602,0.10954057,0.1575,2,"[8, 3]",5.5
karate,CMS,0.425177336,0.420855284,0.9,0.225966602,0.10954057,0.1575,2,"[9, 3]",6
karate,CMS,0.433295965,0.428396702,1,0.225966602,0.10954057,0.1575,2,"[9, 3]",6
polblogs,CMS,2.455838919,1.293216705,0,0.337099541,0.346755964,0.0628,25,"[346, 817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",46.68
