data,algorithm,time,alpha,nmi,ari,#com
karate,CMS,14.40307188,0,0.580113479,0.572212902,2
strike,CMS,9.458423853,0,0.633592395,0.570614914,2
strike,CMS,9.864916086,0.1,0.633592395,0.570614914,2
strike,CMS,13.25090599,0.2,0.633592395,0.570614914,2
strike,CMS,10.09471393,0.3,0.611108014,0.362244422,2
strike,CMS,12.29496503,0.4,0.611108014,0.362244422,2
mexican,CMS,14.37770391,0,0.166637953,0.150360851,3
strike,CMS,12.00801015,0.5,0.611108014,0.362244422,2
strike,CMS,13.34360504,0.6,0.611108014,0.362244422,2
strike,CMS,14.01474094,0.7,0.611108014,0.362244422,2
strike,CMS,13.35658884,0.8,0.611108014,0.362244422,2
karate,CMS,14.15146494,0.1,0.837169463,0.882257541,2
strike,CMS,13.7114172,0.9,0.611108014,0.362244422,2
strike,CMS,11.92267895,1,0.611108014,0.362244422,2
karate,CMS,14.28184009,0.2,0.836498117,0.882302455,2
karate,CMS,14.73345804,0.3,0.836498117,0.882302455,2
karate,CMS,13.68752193,0.4,0.225966602,0.10954057,2
karate,CMS,14.47358608,0.5,0.225966602,0.10954057,2
karate,CMS,13.62388515,0.6,0.225966602,0.10954057,2
karate,CMS,14.69117594,0.7,0.225966602,0.10954057,2
karate,CMS,1.024762154,0.8,0.225966602,0.10954057,2
karate,CMS,13.7823081,0.9,0.225966602,0.10954057,2
karate,CMS,14.32674098,1,0.225966602,0.10954057,2
mexican,CMS,14.3837471,0.1,0.227712438,0.229091891,3
mexican,CMS,14.60431504,0.2,0.17367772,0.160799092,3
mexican,CMS,14.8604629,0.3,0.17367772,0.160799092,3
mexican,CMS,14.75660491,0.4,0.17367772,0.160799092,3
mexican,CMS,12.27330422,0.5,0.247165942,0.313419706,3
mexican,CMS,12.24647999,0.6,0.247165942,0.313419706,3
mexican,CMS,14.13254094,0.7,0.247165942,0.313419706,3
mexican,CMS,15.02819109,0.8,0.247165942,0.313419706,3
mexican,CMS,14.50346208,0.9,0.247165942,0.313419706,3
mexican,CMS,14.95742106,1,0.247165942,0.313419706,3
dolphin,CMS,12.62673688,0,0.60578658,0.479537827,3
dolphin,CMS,15.87026882,0.1,0.482829985,0.373413537,3
dolphin,CMS,16.63788795,0.2,0.376930656,0.226360863,3
dolphin,CMS,17.13590693,0.3,0.526612167,0.598330067,3
dolphin,CMS,16.89143133,0.4,0.526612167,0.598330067,3
dolphin,CMS,17.12493801,0.5,0.526612167,0.598330067,3
dolphin,CMS,16.61882496,0.6,0.526612167,0.598330067,3
dolphin,CMS,17.36691213,0.7,0.526612167,0.598330067,3
dolphin,CMS,15.30655622,0.8,0.526612167,0.598330067,3
dolphin,CMS,17.16687894,0.9,0.526612167,0.598330067,3
dolphin,CMS,14.70381975,1,0.526612167,0.598330067,3
polbooks,CMS,24.05232978,0,0.408707942,0.280706477,5
polbooks,CMS,20.191118,0.1,0.333248003,0.241205302,5
polbooks,CMS,19.48993421,0.2,0.427441605,0.34124876,5
football,CMS,25.14776397,0,0.815290048,0.656313576,8
football,CMS,19.72387409,0.1,0.847023468,0.576621226,8
football,CMS,20.85976005,0.2,0.828606213,0.495950669,8
football,CMS,22.89425516,0.3,0.828606213,0.495950669,8
football,CMS,22.61270499,0.4,0.828606213,0.495950669,8
football,CMS,23.33934498,0.5,0.828606213,0.495950669,8
football,CMS,21.05929685,0.6,0.828606213,0.495950669,8
football,CMS,23.16081405,0.7,0.828606213,0.495950669,8
football,CMS,19.83292985,0.8,0.828606213,0.495950669,8
football,CMS,23.03670287,0.9,0.828606213,0.495950669,8
polbooks,CMS,21.86004496,0.3,0.420090729,0.349421308,5
polbooks,CMS,24.10204387,0.4,0.297330736,0.051110743,5
polbooks,CMS,24.15020394,0.5,0.297330736,0.051110743,5
polbooks,CMS,21.28080177,0.6,0.264841436,0.009606296,5
polbooks,CMS,21.5915451,0.7,0.172530856,-0.005683505,5
polbooks,CMS,22.38063788,0.8,0.172530856,-0.005683505,5
polbooks,CMS,22.04309201,0.9,0.228934851,-0.020880844,5
polbooks,CMS,22.95443606,1,0.228934851,-0.020880844,5
football,CMS,23.5880971,1,0.828606213,0.495950669,8
