data,algorithm,time,alpha,nmi,ari,#com
d_avg_10,CMS,239.96749091148376,0.9,0.19885795779987425,0.000772896773923693,35
d_avg_10,CMS,242.35535430908203,0.4,0.20103802673951737,0.008635108704058155,35
d_avg_10,CMS,252.68010807037354,0.3,0.21811540039736324,0.003618556814325886,35
d_avg_10,CMS,252.7872679233551,1.0,0.1903103017555122,0.006582051532746057,35
d_avg_10,CMS,252.5340301990509,0.5,0.19591890629287864,0.007361819545429581,35
d_avg_10,CMS,253.63941097259521,0.6,0.1968497735916694,0.007240789880780034,35
d_avg_10,CMS,253.7077512741089,0.7,0.18830527524856225,0.006659721242628404,35
d_avg_10,CMS,253.9507439136505,0.8,0.1903103017555122,0.006582051532746057,35
d_avg_10,CMS,258.1153049468994,0.1,0.24631962657270162,0.020572671326203273,35
d_avg_10,CMS,258.89892292022705,0.2,0.21485161587181661,0.007258361634790375,35
d_avg_10,CMS,259.55689692497253,0.0,0.8528492889978583,0.7887144384928692,35
d_avg_20,CMS,290.64578890800476,0.6,0.327286292927376,0.032272935260038695,34
d_avg_20,CMS,290.8868291378021,0.7,0.3151559663402613,0.023210488745245866,34
d_avg_20,CMS,290.95841670036316,0.5,0.327286292927376,0.032272935260038695,34
d_avg_20,CMS,290.95434403419495,0.9,0.34010561811882556,0.03371702462384527,34
d_avg_20,CMS,291.4028217792511,0.3,0.33775439872335605,0.035930392264340874,34
d_avg_20,CMS,291.33608078956604,1.0,0.34010561811882556,0.03371702462384527,34
d_avg_20,CMS,291.5712640285492,0.0,0.9334573921190081,0.9247421442409178,34
d_avg_20,CMS,291.5385332107544,0.4,0.320066202134662,0.0356256114997564,34
d_avg_20,CMS,291.7042441368103,0.8,0.33981989681728947,0.03318977356699821,34
d_avg_20,CMS,292.2881848812103,0.2,0.33845960398250646,0.035840566122945,34
d_avg_20,CMS,293.0474898815155,0.1,0.34817059896956565,0.05457822947512651,34
d_avg_30,CMS,301.93221616744995,0.0,0.9379427917412183,0.8996485307890816,31
d_avg_30,CMS,303.4726140499115,0.9,0.6145982315629864,0.13562598485147515,31
d_avg_30,CMS,303.73059463500977,0.2,0.7040935623405636,0.3152991660043768,31
d_avg_30,CMS,303.79151010513306,1.0,0.5885381035596946,0.10982771740764798,31
