data,algorithm,time,alpha,nmi,ari,#com
strike,CMS,0.819254875,0.2,0.633592395,0.570614914,2
strike,CMS,0.826991081,0.7,0.611108014,0.362244422,2
strike,CMS,0.839993238,0.5,0.611108014,0.362244422,2
strike,CMS,0.83915019,0.8,0.611108014,0.362244422,2
strike,CMS,0.843806982,0,0.633592395,0.570614914,2
strike,CMS,0.844097853,0.9,0.611108014,0.362244422,2
strike,CMS,0.847372055,0.4,0.611108014,0.362244422,2
strike,CMS,0.854084969,0.6,0.611108014,0.362244422,2
strike,CMS,0.86608386,0.3,0.611108014,0.362244422,2
strike,CMS,0.871131897,1,0.611108014,0.362244422,2
strike,CMS,0.876079798,0.1,0.633592395,0.570614914,2
karate,CMS,0.285067081,0.8,0.225966602,0.10954057,2
karate,CMS,0.329783678,0.7,0.225966602,0.10954057,2
karate,CMS,0.386827946,0.6,0.225966602,0.10954057,2
karate,CMS,0.30861187,0,0.580113479,0.572212902,2
karate,CMS,0.31854105,0.9,0.225966602,0.10954057,2
karate,CMS,0.435919046,0.5,0.225966602,0.10954057,2
karate,CMS,0.419696093,0.4,0.225966602,0.10954057,2
karate,CMS,0.275724649,0.3,0.836498117,0.882302455,2
karate,CMS,0.259282351,0.1,0.837169463,0.882257541,2
karate,CMS,0.311164141,1,0.225966602,0.10954057,2
karate,CMS,0.190864086,0.2,0.836498117,0.882302455,2
mexican,CMS,0.757039785,0.2,0.17367772,0.160799092,3
mexican,CMS,0.6629529,0,0.166637953,0.150360851,3
mexican,CMS,0.764765263,0.8,0.247165942,0.313419706,3
mexican,CMS,0.726414919,0.4,0.17367772,0.160799092,3
mexican,CMS,0.52373004,0.6,0.247165942,0.313419706,3
mexican,CMS,0.804701805,0.5,0.247165942,0.313419706,3
mexican,CMS,0.775037289,0.7,0.247165942,0.313419706,3
mexican,CMS,0.521414757,0.9,0.247165942,0.313419706,3
mexican,CMS,0.767951965,0.3,0.17367772,0.160799092,3
mexican,CMS,0.320375204,0.1,0.227712438,0.229091891,3
mexican,CMS,0.260184765,1,0.247165942,0.313419706,3
dolphin,CMS,0.751377344,0,0.60578658,0.479537827,3
dolphin,CMS,0.734649181,0.1,0.482829985,0.373413537,3
dolphin,CMS,0.932544947,0.2,0.376930656,0.226360863,3
dolphin,CMS,1.216387987,0.4,0.526612167,0.598330067,3
dolphin,CMS,1.108345032,0.7,0.526612167,0.598330067,3
dolphin,CMS,0.923755884,0.3,0.526612167,0.598330067,3
dolphin,CMS,1.173893929,0.9,0.526612167,0.598330067,3
dolphin,CMS,0.971177101,0.6,0.526612167,0.598330067,3
dolphin,CMS,1.052763224,0.8,0.526612167,0.598330067,3
dolphin,CMS,0.725702763,0.5,0.526612167,0.598330067,3
dolphin,CMS,1.057354927,1,0.526612167,0.598330067,3
polbooks,CMS,3.456581831,0.1,0.333248003,0.241205302,5
polbooks,CMS,3.849163055,0.2,0.427441605,0.34124876,5
polbooks,CMS,3.910771847,0.3,0.420090729,0.349421308,5
polbooks,CMS,4.678585052,0.5,0.297330736,0.051110743,5
polbooks,CMS,4.548238993,0.6,0.264841436,0.009606296,5
polbooks,CMS,4.765475035,0.7,0.172530856,-0.005683505,5
polbooks,CMS,4.867509842,0.4,0.297330736,0.051110743,5
polbooks,CMS,4.859690905,0.8,0.172530856,-0.005683505,5
polbooks,CMS,5.098233223,0,0.408707942,0.280706477,5
polbooks,CMS,5.180909872,1,0.228934851,-0.020880844,5
polbooks,CMS,5.45008707,0.9,0.228934851,-0.020880844,5
football,CMS,4.088640213,0.5,0.828606213,0.495950669,8
football,CMS,4.237085104,0.4,0.828606213,0.495950669,8
football,CMS,4.096997023,0.2,0.828606213,0.495950669,8
football,CMS,4.037062883,0.7,0.828606213,0.495950669,8
football,CMS,4.138633013,1,0.828606213,0.495950669,8
football,CMS,4.195657969,0.1,0.847023468,0.576621226,8
football,CMS,4.088220119,0.8,0.828606213,0.495950669,8
football,CMS,4.145853043,0.3,0.828606213,0.495950669,8
football,CMS,4.148540258,0.6,0.828606213,0.495950669,8
football,CMS,4.2134161,0.9,0.828606213,0.495950669,8
football,CMS,5.430643082,0,0.815290048,0.656313576,8
