data,algorithm,time,alpha,nmi,ari,#com
strike,CMS,16.2157352,0,0.633592395,0.570614914,2
strike,CMS,19.13484383,0,0.633592395,0.570614914,2
strike,CMS,15.81314898,0.1,0.633592395,0.570614914,2
strike,CMS,18.43268204,0.1,0.633592395,0.570614914,2
strike,CMS,16.32052279,0.2,0.633592395,0.570614914,2
strike,CMS,18.81938696,0.2,0.633592395,0.570614914,2
strike,CMS,15.34135556,0.3,0.611108014,0.362244422,2
strike,CMS,18.62892008,0.3,0.611108014,0.362244422,2
strike,CMS,15.10697389,0.4,0.611108014,0.362244422,2
strike,CMS,17.091254,0.4,0.611108014,0.362244422,2
strike,CMS,15.83487177,0.5,0.611108014,0.362244422,2
karate,CMS,16.80834198,0.9,0.225966602,0.10954057,2
karate,CMS,16.95778823,0.8,0.225966602,0.10954057,2
karate,CMS,18.20043492,1,0.225966602,0.10954057,2
karate,CMS,18.12379003,0.5,0.836498117,0.882302455,2
karate,CMS,17.85592699,0.3,0.836498117,0.882302455,2
karate,CMS,18.75510788,0.4,0.836498117,0.882302455,2
karate,CMS,17.91647696,0.6,0.225966602,0.10954057,2
karate,CMS,18.9031229,0.2,0.836498117,0.882302455,2
karate,CMS,19.12320113,0.1,0.837169463,0.882257541,2
karate,CMS,18.53563881,0.7,0.225966602,0.10954057,2
karate,CMS,19.00610781,0,0.580113479,0.572212902,2
mexican,CMS,19.946872,0,0.166637953,0.150360851,3
mexican,CMS,19.3378942,0.3,0.092354358,0.01281952,3
mexican,CMS,19.86093688,0.9,0.187283748,0.198617812,3
mexican,CMS,19.37478685,0.6,0.187283748,0.198617812,3
mexican,CMS,20.1113081,0.4,0.187283748,0.198617812,3
mexican,CMS,20.33583093,0.8,0.187283748,0.198617812,3
mexican,CMS,19.93491483,0.2,0.160369195,0.125947116,3
mexican,CMS,18.91247821,0.7,0.187283748,0.198617812,3
mexican,CMS,18.69573307,0.5,0.187283748,0.198617812,3
mexican,CMS,20.42677116,1,0.187283748,0.198617812,3
mexican,CMS,20.51649499,0.1,0.160369195,0.125947116,3
dolphin,CMS,22.66515017,0.1,0.75627836,0.630351209,3
dolphin,CMS,23.19941211,0,0.60578658,0.479537827,3
dolphin,CMS,21.39640594,0.5,0.131427328,0.129472721,3
dolphin,CMS,22.81137109,0.9,0.151626597,0.039916111,3
dolphin,CMS,23.41468,1,0.151626597,0.039916111,3
dolphin,CMS,22.96110487,0.2,0.524515567,0.507677067,3
dolphin,CMS,23.70119667,0.7,0.526612167,0.598330067,3
dolphin,CMS,23.42292881,0.8,0.526612167,0.598330067,3
dolphin,CMS,20.82893991,0.4,0.131427328,0.129472721,3
dolphin,CMS,22.42010713,0.3,0.37913843,0.224178924,3
dolphin,CMS,24.02161384,0.6,0.526612167,0.598330067,3
polbooks,CMS,38.83475089,0,0.408707942,0.280706477,5
polbooks,CMS,40.25117803,0,0.408707942,0.280706477,5
polbooks,CMS,34.46077013,0.1,0.456948187,0.418926065,5
polbooks,CMS,38.10513783,0.1,0.457845598,0.41832401,5
polbooks,CMS,33.81961107,0.2,0.485748721,0.505437179,5
polbooks,CMS,38.45515585,0.2,0.417276773,0.33776255,5
polbooks,CMS,35.79186416,0.3,0.427441605,0.34124876,5
polbooks,CMS,40.19708991,0.3,0.427441605,0.34124876,5
polbooks,CMS,36.42816496,0.4,0.427441605,0.34124876,5
football,CMS,38.50917196,1,0.828606213,0.495950669,8
football,CMS,38.13284707,0.9,0.828606213,0.495950669,8
football,CMS,39.62667203,0.3,0.828606213,0.495950669,8
football,CMS,38.21042514,0.6,0.828606213,0.495950669,8
polbooks,CMS,39.95527387,0.4,0.420090729,0.349421308,5
football,CMS,37.10123205,0.8,0.828606213,0.495950669,8
football,CMS,39.08133793,0.7,0.828606213,0.495950669,8
football,CMS,39.62157106,0.2,0.828606213,0.495950669,8
football,CMS,39.22484875,0.4,0.828606213,0.495950669,8
football,CMS,38.88277698,0.5,0.828606213,0.495950669,8
polbooks,CMS,36.65058112,0.5,0.239884905,0.101469189,5
football,CMS,39.81967998,0.1,0.85727745,0.661110758,8
football,CMS,39.1066761,0,0.837048777,0.693164212,8
strike,CMS,18.76126099,0.5,0.611108014,0.362244422,2
strike,CMS,16.30285788,0.6,0.611108014,0.362244422,2
strike,CMS,18.650172,0.6,0.611108014,0.362244422,2
strike,CMS,15.7775929,0.7,0.611108014,0.362244422,2
strike,CMS,18.65757918,0.7,0.611108014,0.362244422,2
strike,CMS,14.37863803,0.8,0.611108014,0.362244422,2
strike,CMS,18.90387893,0.8,0.611108014,0.362244422,2
strike,CMS,16.06389689,0.9,0.611108014,0.362244422,2
strike,CMS,18.60137796,0.9,0.611108014,0.362244422,2
strike,CMS,15.57040596,1,0.611108014,0.362244422,2
strike,CMS,17.99077296,1,0.611108014,0.362244422,2
karate,CMS,20.6830461,0.1,0.837169463,0.882257541,2
karate,CMS,20.21628213,0.6,0.225966602,0.10954057,2
karate,CMS,20.21646523,0.7,0.225966602,0.10954057,2
karate,CMS,20.88183713,0.9,0.225966602,0.10954057,2
karate,CMS,20.2873919,0.4,0.836498117,0.882302455,2
karate,CMS,20.2897141,0.8,0.225966602,0.10954057,2
karate,CMS,19.16882491,0.5,0.836498117,0.882302455,2
karate,CMS,21.40746903,0.3,0.836498117,0.882302455,2
karate,CMS,20.44058013,0.2,0.836498117,0.882302455,2
karate,CMS,21.49097085,0,0.580113479,0.572212902,2
karate,CMS,21.62934399,1,0.225966602,0.10954057,2
mexican,CMS,21.57949495,0.2,0.227712438,0.229091891,3
mexican,CMS,21.24899292,0.1,0.160369195,0.125947116,3
mexican,CMS,21.65561485,0,0.166637953,0.150360851,3
mexican,CMS,22.15730882,0.6,0.17367772,0.160799092,3
mexican,CMS,21.80175495,0.9,0.247165942,0.313419706,3
mexican,CMS,20.28436589,0.7,0.247165942,0.313419706,3
mexican,CMS,20.92631984,0.8,0.247165942,0.313419706,3
mexican,CMS,22.35026884,0.3,0.177283445,0.15600031,3
mexican,CMS,22.20021486,1,0.247165942,0.313419706,3
mexican,CMS,22.260885,0.5,0.17367772,0.160799092,3
mexican,CMS,23.06757903,0.4,0.17367772,0.160799092,3
dolphin,CMS,24.35089731,0.1,0.740150919,0.586278148,3
dolphin,CMS,24.71289182,0,0.60578658,0.479537827,3
dolphin,CMS,25.46507788,0.9,0.526612167,0.598330067,3
dolphin,CMS,25.3654058,1,0.526612167,0.598330067,3
dolphin,CMS,25.98193812,0.5,0.526612167,0.598330067,3
dolphin,CMS,25.39539027,0.3,0.376930656,0.226360863,3
dolphin,CMS,24.29604506,0.4,0.108785408,0.081122871,3
dolphin,CMS,25.73615098,0.6,0.526612167,0.598330067,3
dolphin,CMS,25.49792886,0.2,0.750030097,0.613648077,3
dolphin,CMS,26.09932208,0.7,0.526612167,0.598330067,3
dolphin,CMS,25.56681824,0.8,0.526612167,0.598330067,3
polbooks,CMS,40.24696016,0.5,0.420090729,0.349421308,5
polbooks,CMS,36.83090425,0.6,0.21120704,0.092536711,5
polbooks,CMS,41.38897014,0.6,0.242735774,-0.011473337,5
polbooks,CMS,36.32413411,0.7,0.228934851,-0.020880844,5
polbooks,CMS,42.12733984,0.7,0.242735774,-0.011473337,5
polbooks,CMS,39.32508111,0.8,0.228934851,-0.020880844,5
polbooks,CMS,41.5114789,0.8,0.242735774,-0.011473337,5
polbooks,CMS,38.86998391,0.9,0.228934851,-0.020880844,5
football,CMS,41.39182496,1,0.828606213,0.495950669,8
polbooks,CMS,42.39955401,0.9,0.228934851,-0.020880844,5
football,CMS,41.51409221,0.6,0.828606213,0.495950669,8
football,CMS,42.59127975,0.7,0.828606213,0.495950669,8
polbooks,CMS,36.43788815,1,0.19990276,-0.010799114,5
football,CMS,41.84777689,0.1,0.859463318,0.638493957,8
football,CMS,42.89900708,0.8,0.828606213,0.495950669,8
football,CMS,43.1728518,0.3,0.828606213,0.495950669,8
football,CMS,41.52320886,0.9,0.828606213,0.495950669,8
polbooks,CMS,42.4864378,1,0.228934851,-0.020880844,5
football,CMS,42.24688601,0.2,0.828606213,0.495950669,8
football,CMS,42.78361678,0.4,0.828606213,0.495950669,8
football,CMS,42.59758019,0.5,0.828606213,0.495950669,8
football,CMS,43.45016909,0,0.837048777,0.693164212,8
