data,algorithm,time,alpha,nmi,ari,#com
karate,CMS,0.152669907,0.5,0.101437523,0.021966527,2
karate,CMS,0.115825176,0.5,0.101437523,0.021966527,2
karate,CMS,1.003416061,0.2,0.837169463,0.882257541,2
karate,CMS,1.007735014,0.6,0.101437523,0.021966527,2
karate,CMS,1.008556128,0.7,0.101437523,0.021966527,2
karate,CMS,1.009832144,0.8,0.101437523,0.021966527,2
karate,CMS,1.015855789,1,0.101437523,0.021966527,2
karate,CMS,1.015123844,0.5,0.101437523,0.021966527,2
karate,CMS,1.016040087,0.1,0.836498117,0.882302455,2
karate,CMS,1.018410921,0.4,0.101437523,0.021966527,2
karate,CMS,1.028571129,0.9,0.101437523,0.021966527,2
karate,CMS,1.030707359,0.3,0.225966602,0.10954057,2
karate,CMS,1.116557121,0,0.580113479,0.572212902,2
karate,CMS,0.110014915,0.5,0.225966602,0.10954057,2
karate,CMS,0.086526871,0.5,0.225966602,0.10954057,2
karate,CMS,0.091495037,0.5,0.225966602,0.10954057,2
karate,CMS,0.906951904,0.5,0.225966602,0.10954057,2
karate,CMS,0.903727055,0.5,0.225966602,0.10954057,2
karate,CMS,0.902054787,0.5,0.225966602,0.10954057,2
karate,CMS,0.102357149,0.5,0.225966602,0.10954057,2
karate,CMS,0.120515108,0.5,0.225966602,0.10954057,2
karate,CMS,0.116008043,0.5,0.836498117,0.882302455,2
karate,CMS,1.560239077,0.4,0.836498117,0.882302455,2
karate,CMS,1.562079191,0.5,0.836498117,0.882302455,2
karate,CMS,1.547426939,1,0.225966602,0.10954057,2
karate,CMS,1.587160826,0.7,0.225966602,0.10954057,2
karate,CMS,1.588536739,0.6,0.225966602,0.10954057,2
karate,CMS,1.60427475,0.3,0.836498117,0.882302455,2
karate,CMS,1.607407808,0.9,0.225966602,0.10954057,2
karate,CMS,1.611300707,0.1,0.837169463,0.882257541,2
karate,CMS,1.613522291,0.8,0.225966602,0.10954057,2
karate,CMS,1.608855009,0.2,0.836498117,0.882302455,2
karate,CMS,1.620842934,0,0.580113479,0.572212902,2
