data,algorithm,time,alpha,nmi,ari,#com
karate,CMS,0.15571475,0.6,0.225966602,0.10954057,2
strike,CMS,0.171150923,0.8,0.611108014,0.362244422,2
karate,CMS,0.198720932,1,0.225966602,0.10954057,2
karate,CMS,0.249289989,0.4,0.144143763,0.043827611,2
karate,CMS,0.482422113,0.7,0.225966602,0.10954057,2
strike,CMS,0.477640867,0.1,0.804899942,0.736291735,2
karate,CMS,0.48900795,0.8,0.225966602,0.10954057,2
karate,CMS,0.439625025,0.2,0.836498117,0.882302455,2
strike,CMS,0.197157145,0.7,0.611108014,0.362244422,2
strike,CMS,0.420186281,0.2,0.154497516,-0.02319273,2
karate,CMS,0.588974953,0.5,0.225966602,0.10954057,2
karate,CMS,0.621449947,0.1,0.730786718,0.771846881,2
strike,CMS,0.745567083,1,0.611108014,0.362244422,2
karate,CMS,0.63983202,0,0.417471475,0.327964861,2
strike,CMS,0.301346064,0.9,0.611108014,0.362244422,2
strike,CMS,0.156952143,0,0.10607214,-0.030570355,2
strike,CMS,0.535832882,0.4,0.154497516,-0.02319273,2
strike,CMS,0.317396402,0.5,0.154497516,-0.02319273,2
strike,CMS,0.404602051,0.6,0.611108014,0.362244422,2
strike,CMS,0.52384901,0.3,0.154497516,-0.02319273,2
karate,CMS,0.450042009,0.9,0.225966602,0.10954057,2
karate,CMS,0.386220217,0.3,0.836498117,0.882302455,2
mexican,CMS,0.137637854,0.8,0.177283445,0.15600031,3
mexican,CMS,0.146062851,0.4,0.127941251,0.076875339,3
mexican,CMS,0.249980927,1,0.187283748,0.198617812,3
mexican,CMS,0.204880238,0.3,0.127941251,0.076875339,3
mexican,CMS,0.273075819,0,0.137431571,-0.076362431,3
dolphin,CMS,0.494011879,0.3,0.308393262,0.312005536,3
dolphin,CMS,0.631305933,0.7,0.44627261,0.495582997,3
mexican,CMS,0.5467062,0.1,0.193012151,-0.047894604,3
mexican,CMS,0.596339226,0.9,0.187283748,0.198617812,3
mexican,CMS,0.488846064,0.6,0.127941251,0.076875339,3
mexican,CMS,0.462991238,0.5,0.127941251,0.076875339,3
dolphin,CMS,0.794934988,0.2,0.057352837,-0.057329957,3
dolphin,CMS,0.618585825,0.4,0.057352837,-0.057329957,3
dolphin,CMS,0.725939989,0.5,0.338723514,0.315723815,3
dolphin,CMS,0.61053586,0,0.045529151,-0.045381621,3
dolphin,CMS,0.731241941,0.6,0.338723514,0.315723815,3
mexican,CMS,0.292589188,0.7,0.195924799,0.160799092,3
dolphin,CMS,0.518784046,0.9,0.526612167,0.598330067,3
dolphin,CMS,0.698395967,0.8,0.526612167,0.598330067,3
dolphin,CMS,0.723730087,0.1,0.045529151,-0.045381621,3
mexican,CMS,0.242541075,0.2,0.315341753,0.198617812,3
dolphin,CMS,0.237409115,1,0.151626597,0.039916111,3
polbooks,CMS,1.728491783,0,0.071660191,0.001303416,5
polbooks,CMS,1.879433155,0.5,0.154159203,0.008428421,5
polbooks,CMS,1.997396946,1,0.19990276,-0.010799114,5
polbooks,CMS,1.732958078,0.2,0.337077755,0.308092481,5
polbooks,CMS,2.021966934,0.8,0.25356571,-0.010071658,5
polbooks,CMS,1.806857109,0.7,0.19990276,-0.010799114,5
polbooks,CMS,1.777022123,0.1,0.404447703,0.339374108,5
polbooks,CMS,1.735002756,0.6,0.189374268,0.029664035,5
polbooks,CMS,1.612652063,0.9,0.228934851,-0.020880844,5
polbooks,CMS,1.733293056,0.3,0.164457177,-0.013729745,5
football,CMS,2.141808271,0.7,0.828606213,0.495950669,8
polbooks,CMS,1.206235886,0.4,0.200955046,0.09688127,5
football,CMS,1.82001996,0,0.135408484,0.006054475,8
football,CMS,1.674212933,0.1,0.54761575,0.202618481,8
football,CMS,2.120896816,1,0.828606213,0.495950669,8
football,CMS,1.982395887,0.6,0.828606213,0.495950669,8
football,CMS,1.671520948,0.8,0.828606213,0.495950669,8
football,CMS,1.874521971,0.3,0.828606213,0.495950669,8
football,CMS,1.64173317,0.4,0.828606213,0.495950669,8
football,CMS,1.788718224,0.2,0.828606213,0.495950669,8
football,CMS,1.806065083,0.5,0.828606213,0.495950669,8
football,CMS,1.705457926,0.9,0.828606213,0.495950669,8d_avg_10,CMS,469.01749897003174,0.9,0.17350782949270652,0.004556230692296549,35
d_avg_10,CMS,469.11747908592224,0.8,0.17238879360462733,0.0035342118522930996,35
d_avg_10,CMS,469.2233462333679,0.3,0.1499423351124515,0.0003952770829569522,35
d_avg_10,CMS,470.11418294906616,0.2,0.12768706434963853,-0.010354815430304738,35
d_avg_10,CMS,470.13500118255615,0.7,0.15479387259887228,0.0003613669965579542,35
d_avg_10,CMS,470.42182207107544,0.5,0.1499423351124515,0.0003952770829569522,35
d_avg_10,CMS,470.29423117637634,0.1,0.11185802259452837,-0.010806689249165535,35
d_avg_10,CMS,470.898530960083,0.6,0.1499423351124515,0.0003952770829569522,35
d_avg_10,CMS,471.6609380245209,0.4,0.1543243386117037,0.0010405078688950447,35
d_avg_10,CMS,471.9105341434479,1.0,0.1903103017555122,0.006582051532746057,35
d_avg_10,CMS,475.92865800857544,0.0,0.10004663631849643,-0.0011568389082105338,35
karate,CMS,0.09949731826782227,0.5,0.48199292871255167,0.29154281051465875,8
karate,CMS,0.1012260913848877,0.5,0.22596660244083364,0.10954056953567597,2
karate,CMS,0.10313606262207031,0.5,0.22596660244083364,0.10954056953567597,2
karate,CMS,0.06955599784851074,0.5,0.8364981174679549,0.882302454654689,2
